5C  A5 2
1D49F  44 2
1D4A2  47 2
1D4A5  4A 2
1D4A6  4B 2
1D4A9  4E 2
1D4AA  4F 2
1D4AB  50 2
1D4AC  51 2
1D4AE  53 2
1D4AF  54 2
1D4B0  55 2
1D4B1  56 2
1D4B2  57 2
1D4B3  58 2
1D4B4  59 2
1D4B5  5A 2
1D4B6  61 2
1D4B7  62 2
1D4B8  63 2
1D4B9  64 2
1D4BB  66 2
1D4BD  68 2
1D4BE  69 2
1D4BF  6A 2
1D4C0  6B 2
1D4C1  6C 2
1D4C2  6D 2
1D4C3  6E 2
1D4C5  70 2
1D4C6  71 2
1D4C7  72 2
1D4C8  73 2
1D4C9  74 2
1D4CA  75 2
1D4CB  76 2
1D4CC  77 2
1D4CD  78 2
1D4CE  79 2
1D4CF  7A 2
1D4D0  41 2
1D4D1  42 2
1D4D2  43 2
1D4D3  44 2
1D4D4  45 2
1D4D5  46 2
1D4D6  47 2
1D4D7  48 2
1D4D8  49 2
1D4D9  4A 2
1D4DA  4B 2
1D4DB  4C 2
1D4DC  4D 2
1D4DD  4E 2
1D4DE  4F 2
1D4DF  50 2
1D4E0  51 2
1D4E1  52 2
1D4E2  53 2
1D4E3  54 2
1D4E4  55 2
1D4E5  56 2
1D4E6  57 2
1D4E7  58 2
1D4E8  59 2
1D4E9  5A 2
1D4EA  61 2
1D4EB  62 2
1D4EC  63 2
1D4ED  64 2
1D4EE  65 2
1D4EF  66 2
1D4F0  67 2
1D4F1  68 2
1D4F2  69 2
1D4F3  6A 2
1D4F4  6B 2
1D4F5  6C 2
1D4F6  6D 2
1D4F7  6E 2
1D4F8  6F 2
1D4F9  70 2
1D4FA  71 2
1D4FB  72 2
1D4FC  73 2
1D4FD  74 2
1D4FE  75 2
1D4FF  76 2
1D500  77 2
1D501  78 2
1D502  79 2
1D503  7A 2
1D504  41 2
1D505  42 2
1D507  44 2
1D508  45 2
1D509  46 2
1D50A  47 2
1D50D  4A 2
1D50E  4B 2
1D50F  4C 2
1D510  4D 2
1D511  4E 2
1D512  4F 2
1D513  50 2
1D514  51 2
1D516  53 2
1D517  54 2
1D518  55 2
1D519  56 2
1D51A  57 2
1D51B  58 2
1D51C  59 2
1D51E  61 2
1D51F  62 2
1D520  63 2
1D521  64 2
1D522  65 2
1D523  66 2
1D524  67 2
1D525  68 2
1D526  69 2
1D527  6A 2
1D528  6B 2
1D529  6C 2
1D52A  6D 2
1D52B  6E 2
1D52C  6F 2
1D52D  70 2
1D52E  71 2
1D52F  72 2
1D530  73 2
1D531  74 2
1D532  75 2
1D533  76 2
1D534  77 2
1D535  78 2
1D536  79 2
1D537  7A 2
1D538  41 2
1D539  42 2
1D53B  44 2
1D53C  45 2
1D53D  46 2
1D53E  47 2
1D540  49 2
1D541  4A 2
1D542  4B 2
1D543  4C 2
1D544  4D 2
1D546  4F 2
1D54A  53 2
1D54B  54 2
1D54C  55 2
1D54D  56 2
1D54E  57 2
1D54F  58 2
1D550  59 2
1D552  61 2
1D553  62 2
1D554  63 2
1D555  64 2
1D556  65 2
1D557  66 2
1D558  67 2
1D559  68 2
1D55A  69 2
1D55B  6A 2
1D55C  6B 2
1D55D  6C 2
1D55E  6D 2
1D55F  6E 2
1D560  6F 2
1D561  70 2
1D562  71 2
1D563  72 2
1D564  73 2
1D565  74 2
1D566  75 2
1D567  76 2
1D568  77 2
1D569  78 2
1D56A  79 2
1D56B  7A 2
1D56C  41 2
1D56D  42 2
1D56E  43 2
1D56F  44 2
1D570  45 2
1D571  46 2
1D572  47 2
1D573  48 2
1D574  49 2
1D575  4A 2
1D576  4B 2
1D577  4C 2
1D578  4D 2
1D579  4E 2
1D57A  4F 2
1D57B  50 2
1D57C  51 2
1D57D  52 2
1D57E  53 2
1D57F  54 2
1D580  55 2
1D581  56 2
1D582  57 2
1D583  58 2
1D584  59 2
1D585  5A 2
1D586  61 2
1D587  62 2
1D588  63 2
1D589  64 2
1D58A  65 2
1D58B  66 2
1D58C  67 2
1D58D  68 2
1D58E  69 2
1D58F  6A 2
1D590  6B 2
1D591  6C 2
1D592  6D 2
1D593  6E 2
1D594  6F 2
1D595  70 2
1D596  71 2
1D597  72 2
1D598  73 2
1D599  74 2
1D59A  75 2
1D59B  76 2
1D59C  77 2
1D59D  78 2
1D59E  79 2
1D59F  7A 2
1D5A0  41 2
1D5A1  42 2
1D5A2  43 2
1D5A3  44 2
1D5A4  45 2
1D5A5  46 2
1D5A6  47 2
1D5A7  48 2
1D5A8  49 2
1D5A9  4A 2
1D5AA  4B 2
1D5AB  4C 2
1D5AC  4D 2
1D5AD  4E 2
1D5AE  4F 2
1D5AF  50 2
1D5B0  51 2
1D5B1  52 2
1D5B2  53 2
1D5B3  54 2
1D5B4  55 2
1D5B5  56 2
1D5B6  57 2
1D5B7  58 2
1D5B8  59 2
1D5B9  5A 2
1D5BA  61 2
1D5BB  62 2
1D5BC  63 2
1D5BD  64 2
1D5BE  65 2
1D5BF  66 2
1D5C0  67 2
1D5C1  68 2
1D5C2  69 2
1D5C3  6A 2
1D5C4  6B 2
1D5C5  6C 2
1D5C6  6D 2
1D5C7  6E 2
1D5C8  6F 2
1D5C9  70 2
1D5CA  71 2
1D5CB  72 2
1D5CC  73 2
1D5CD  74 2
1D5CE  75 2
1D5CF  76 2
1D5D0  77 2
1D5D1  78 2
1D5D2  79 2
1D5D3  7A 2
1D5D4  41 2
1D5D5  42 2
1D5D6  43 2
1D5D7  44 2
1D5D8  45 2
1D5D9  46 2
1D5DA  47 2
1D5DB  48 2
1D5DC  49 2
1D5DD  4A 2
1D5DE  4B 2
1D5DF  4C 2
1D5E0  4D 2
1D5E1  4E 2
1D5E2  4F 2
1D5E3  50 2
1D5E4  51 2
1D5E5  52 2
1D5E6  53 2
1D5E7  54 2
1D5E8  55 2
1D5E9  56 2
1D5EA  57 2
1D5EB  58 2
1D5EC  59 2
1D5ED  5A 2
1D5EE  61 2
1D5EF  62 2
1D5F0  63 2
1D5F1  64 2
1D5F2  65 2
1D5F3  66 2
1D5F4  67 2
1D5F5  68 2
1D5F6  69 2
1D5F7  6A 2
1D5F8  6B 2
1D5F9  6C 2
1D5FA  6D 2
1D5FB  6E 2
1D5FC  6F 2
1D5FD  70 2
1D5FE  71 2
1D5FF  72 2
1D600  73 2
1D601  74 2
1D602  75 2
1D603  76 2
1D604  77 2
1D605  78 2
1D606  79 2
1D607  7A 2
1D608  41 2
1D609  42 2
1D60A  43 2
1D60B  44 2
1D60C  45 2
1D60D  46 2
1D60E  47 2
1D60F  48 2
1D610  49 2
1D611  4A 2
1D612  4B 2
1D613  4C 2
1D614  4D 2
1D615  4E 2
1D616  4F 2
1D617  50 2
1D618  51 2
1D619  52 2
1D61A  53 2
1D61B  54 2
1D61C  55 2
1D61D  56 2
1D61E  57 2
1D61F  58 2
1D620  59 2
1D621  5A 2
1D622  61 2
1D623  62 2
1D624  63 2
1D625  64 2
1D626  65 2
1D627  66 2
1D628  67 2
1D629  68 2
1D62A  69 2
1D62B  6A 2
1D62C  6B 2
1D62D  6C 2
1D62E  6D 2
1D62F  6E 2
1D630  6F 2
1D631  70 2
1D632  71 2
1D633  72 2
1D634  73 2
1D635  74 2
1D636  75 2
1D637  76 2
1D638  77 2
1D639  78 2
1D63A  79 2
1D63B  7A 2
1D63C  41 2
1D63D  42 2
1D63E  43 2
1D63F  44 2
1D640  45 2
1D641  46 2
1D642  47 2
1D643  48 2
1D644  49 2
1D645  4A 2
1D646  4B 2
1D647  4C 2
1D648  4D 2
1D649  4E 2
1D64A  4F 2
1D64B  50 2
1D64C  51 2
1D64D  52 2
1D64E  53 2
1D64F  54 2
1D650  55 2
1D651  56 2
1D652  57 2
1D653  58 2
1D654  59 2
1D655  5A 2
1D656  61 2
1D657  62 2
1D658  63 2
1D659  64 2
1D65A  65 2
1D65B  66 2
1D65C  67 2
1D65D  68 2
1D65E  69 2
1D65F  6A 2
1D660  6B 2
1D661  6C 2
1D662  6D 2
1D663  6E 2
1D664  6F 2
1D665  70 2
1D666  71 2
1D667  72 2
1D668  73 2
1D669  74 2
1D66A  75 2
1D66B  76 2
1D66C  77 2
1D66D  78 2
1D66E  79 2
1D66F  7A 2
1D670  41 2
1D671  42 2
1D672  43 2
1D673  44 2
1D674  45 2
1D675  46 2
1D676  47 2
1D677  48 2
1D678  49 2
1D679  4A 2
1D67A  4B 2
1D67B  4C 2
1D67C  4D 2
1D67D  4E 2
1D67E  4F 2
1D67F  50 2
1D680  51 2
1D681  52 2
1D682  53 2
1D683  54 2
1D684  55 2
1D685  56 2
1D686  57 2
1D687  58 2
1D688  59 2
1D689  5A 2
1D68A  61 2
1D68B  62 2
1D68C  63 2
1D68D  64 2
1D68E  65 2
1D68F  66 2
1D690  67 2
1D691  68 2
1D692  69 2
1D693  6A 2
1D694  6B 2
1D695  6C 2
1D696  6D 2
1D697  6E 2
1D698  6F 2
1D699  70 2
1D69A  71 2
1D69B  72 2
1D69C  73 2
1D69D  74 2
1D69E  75 2
1D69F  76 2
1D6A0  77 2
1D6A1  78 2
1D6A2  79 2
1D6A3  7A 2
1D6A4  131 3
1D6A8  391 3
1D6A9  392 3
1D6AA  393 3
1D6AB  394 3
1D6AC  395 3
1D6AD  396 3
1D6AE  397 3
1D6AF  398 3
1D6B0  399 3
1D6B1  39A 3
1D6B2  39B 3
1D6B3  39C 3
1D6B4  39D 3
1D6B5  39E 3
1D6B6  39F 3
1D6B7  3A0 3
1D6B8  3A1 3
1D6BA  3A3 3
1D6BB  3A4 3
1D6BC  3A5 3
1D6BD  3A6 3
1D6BE  3A7 3
1D6BF  3A8 3
1D6C0  3A9 3
1D6C1  2207 3
1D6C2  3B1 3
1D6C3  3B2 3
1D6C4  3B3 3
1D6C5  3B4 3
1D6C6  3B5 3
1D6C7  3B6 3
1D6C8  3B7 3
1D6C9  3B8 3
1D6CA  3B9 3
1D6CB  3BA 3
1D6CC  3BB 3
1D6CD  3BC 3
1D6CE  3BD 3
1D6CF  3BE 3
1D6D0  3BF 3
1D6D1  3C0 3
1D6D2  3C1 3
1D6D3  3C2 3
1D6D4  3C3 3
1D6D5  3C4 3
1D6D6  3C5 3
1D6D7  3C6 3
1D6D8  3C7 3
1D6D9  3C8 3
1D6DA  3C9 3
1D6DB  2202 3
1D6E2  391 3
1D6E3  392 3
1D6E4  393 3
1D6E5  394 3
1D6E6  395 3
1D6E7  396 3
1D6E8  397 3
1D6E9  398 3
1D6EA  399 3
1D6EB  39A 3
1D6EC  39B 3
1D6ED  39C 3
1D6EE  39D 3
1D6EF  39E 3
1D6F0  39F 3
1D6F1  3A0 3
1D6F2  3A1 3
1D6F4  3A3 3
1D6F5  3A4 3
1D6F6  3A5 3
1D6F7  3A6 3
1D6F8  3A7 3
1D6F9  3A8 3
1D6FA  3A9 3
1D6FB  2207 3
1D6FC  3B1 3
1D6FD  3B2 3
1D6FE  3B3 3
1D6FF  3B4 3
1D700  3B5 3
1D701  3B6 3
1D702  3B7 3
1D703  3B8 3
1D704  3B9 3
1D705  3BA 3
1D706  3BB 3
1D707  3BC 3
1D708  3BD 3
1D709  3BE 3
1D70A  3BF 3
1D70B  3C0 3
1D70C  3C1 3
1D70D  3C2 3
1D70E  3C3 3
1D70F  3C4 3
1D710  3C5 3
1D711  3C6 3
1D712  3C7 3
1D713  3C8 3
1D714  3C9 3
1D715  2202 3
1D71C  391 3
1D71D  392 3
1D71E  393 3
1D71F  394 3
1D720  395 3
1D721  396 3
1D722  397 3
1D723  398 3
1D724  399 3
1D725  39A 3
1D726  39B 3
1D727  39C 3
1D728  39D 3
1D729  39E 3
1D72A  39F 3
1D72B  3A0 3
1D72C  3A1 3
1D72E  3A3 3
1D72F  3A4 3
1D730  3A5 3
1D731  3A6 3
1D732  3A7 3
1D733  3A8 3
1D734  3A9 3
1D735  2207 3
1D736  3B1 3
1D737  3B2 3
1D738  3B3 3
1D739  3B4 3
1D73A  3B5 3
1D73B  3B6 3
1D73C  3B7 3
1D73D  3B8 3
1D73E  3B9 3
1D73F  3BA 3
1D740  3BB 3
1D741  3BC 3
1D742  3BD 3
1D743  3BE 3
1D744  3BF 3
1D745  3C0 3
1D746  3C1 3
1D747  3C2 3
1D748  3C3 3
1D749  3C4 3
1D74A  3C5 3
1D74B  3C6 3
1D74C  3C7 3
1D74D  3C8 3
1D74E  3C9 3
1D74F  2202 3
1D756  391 3
1D757  392 3
1D758  393 3
1D759  394 3
1D75A  395 3
1D75B  396 3
1D75C  397 3
1D75D  398 3
1D75E  399 3
1D75F  39A 3
1D760  39B 3
1D761  39C 3
1D762  39D 3
1D763  39E 3
1D764  39F 3
1D765  3A0 3
1D766  3A1 3
1D768  3A3 3
1D769  3A4 3
1D76A  3A5 3
1D76B  3A6 3
1D76C  3A7 3
1D76D  3A8 3
1D76E  3A9 3
1D76F  2207 3
1D770  3B1 3
1D771  3B2 3
1D772  3B3 3
1D773  3B4 3
1D774  3B5 3
1D775  3B6 3
1D776  3B7 3
1D777  3B8 3
1D778  3B9 3
1D779  3BA 3
1D77A  3BB 3
1D77B  3BC 3
1D77C  3BD 3
1D77D  3BE 3
1D77E  3BF 3
1D77F  3C0 3
1D780  3C1 3
1D781  3C2 3
1D782  3C3 3
1D783  3C4 3
1D784  3C5 3
1D785  3C6 3
1D786  3C7 3
1D787  3C8 3
1D788  3C9 3
1D789  2202 3
1D790  391 3
1D791  392 3
1D792  393 3
1D793  394 3
1D794  395 3
1D795  396 3
1D796  397 3
1D797  398 3
1D798  399 3
1D799  39A 3
1D79A  39B 3
1D79B  39C 3
1D79C  39D 3
1D79D  39E 3
1D79E  39F 3
1D79F  3A0 3
1D7A0  3A1 3
1D7A2  3A3 3
1D7A3  3A4 3
1D7A4  3A5 3
1D7A5  3A6 3
1D7A6  3A7 3
1D7A7  3A8 3
1D7A8  3A9 3
1D7A9  2207 3
1D7AA  3B1 3
1D7AB  3B2 3
1D7AC  3B3 3
1D7AD  3B4 3
1D7AE  3B5 3
1D7AF  3B6 3
1D7B0  3B7 3
1D7B1  3B8 3
1D7B2  3B9 3
1D7B3  3BA 3
1D7B4  3BB 3
1D7B5  3BC 3
1D7B6  3BD 3
1D7B7  3BE 3
1D7B8  3BF 3
1D7B9  3C0 3
1D7BA  3C1 3
1D7BB  3C2 3
1D7BC  3C3 3
1D7BD  3C4 3
1D7BE  3C5 3
1D7BF  3C6 3
1D7C0  3C7 3
1D7C1  3C8 3
1D7C2  3C9 3
1D7C3  2202 3
1D7CE  30 2
1D7CF  31 2
1D7D0  32 2
1D7D1  33 2
1D7D2  34 2
1D7D3  35 2
1D7D4  36 2
1D7D5  37 2
1D7D6  38 2
1D7D7  39 2
1D7D8  30 2
1D7D9  31 2
1D7DA  32 2
1D7DB  33 2
1D7DC  34 2
1D7DD  35 2
1D7DE  36 2
1D7DF  37 2
1D7E0  38 2
1D7E1  39 2
1D7E2  30 2
1D7E3  31 2
1D7E4  32 2
1D7E5  33 2
1D7E6  34 2
1D7E7  35 2
1D7E8  36 2
1D7E9  37 2
1D7EA  38 2
1D7EB  39 2
1D7EC  30 2
1D7ED  31 2
1D7EE  32 2
1D7EF  33 2
1D7F0  34 2
1D7F1  35 2
1D7F2  36 2
1D7F3  37 2
1D7F4  38 2
1D7F5  39 2
1D7F6  30 2
1D7F7  31 2
1D7F8  32 2
1D7F9  33 2
1D7FA  34 2
1D7FB  35 2
1D7FC  36 2
1D7FD  37 2
1D7FE  38 2
1D7FF  39 2
1EE00  627 3
1EE01  628 3
1EE02  62C 3
1EE03  62F 3
1EE05  648 3
1EE06  632 3
1EE07  62D 3
1EE08  637 3
1EE09  64A 3
1EE0A  643 3
1EE0B  644 3
1EE0C  645 3
1EE0D  646 3
1EE0E  633 3
1EE0F  639 3
1EE10  641 3
1EE11  635 3
1EE12  642 3
1EE13  631 3
1EE14  634 3
1EE15  62A 3
1EE16  62B 3
1EE17  62E 3
1EE18  630 3
1EE19  636 3
1EE1A  638 3
1EE1B  63A 3
1EE21  628 3
1EE22  62C 3
1EE24  647 3
1EE27  62D 3
1EE29  64A 3
1EE2A  643 3
1EE2B  644 3
1EE2C  645 3
1EE2D  646 3
1EE2E  633 3
1EE2F  639 3
1EE30  641 3
1EE31  635 3
1EE32  642 3
1EE34  634 3
1EE35  62A 3
1EE36  62B 3
1EE37  62E 3
1EE39  636 3
1EE3B  63A 3
1EE42  62C 3
1EE47  62D 3
1EE49  64A 3
1EE4B  644 3
1EE4D  646 3
1EE4E  633 3
1EE4F  639 3
1EE51  635 3
1EE52  642 3
1EE54  634 3
1EE57  62E 3
1EE59  636 3
1EE5B  63A 3
1EE61  628 3
1EE62  62C 3
1EE64  647 3
1EE67  62D 3
1EE68  637 3
1EE69  64A 3
1EE6A  643 3
1EE6C  645 3
1EE6D  646 3
1EE6E  633 3
1EE6F  639 3
1EE70  641 3
1EE71  635 3
1EE72  642 3
1EE74  634 3
1EE75  62A 3
1EE76  62B 3
1EE77  62E 3
1EE79  636 3
1EE7A  638 3
1EE7B  63A 3
1EE80  627 3
1EE81  628 3
1EE82  62C 3
1EE83  62F 3
1EE84  647 3
1EE85  648 3
1EE86  632 3
1EE87  62D 3
1EE88  637 3
1EE89  64A 3
1EE8B  644 3
1EE8C  645 3
1EE8D  646 3
1EE8E  633 3
1EE8F  639 3
1EE90  641 3
1EE91  635 3
1EE92  642 3
1EE93  631 3
1EE94  634 3
1EE95  62A 3
1EE96  62B 3
1EE97  62E 3
1EE98  630 3
1EE99  636 3
1EE9A  638 3
1EE9B  63A 3
1EEA1  628 3
1EEA2  62C 3
1EEA3  62F 3
1EEA5  648 3
1EEA6  632 3
1EEA7  62D 3
1EEA8  637 3
1EEA9  64A 3
1EEAB  644 3
1EEAC  645 3
1EEAD  646 3
1EEAE  633 3
1EEAF  639 3
1EEB0  641 3
1EEB1  635 3
1EEB2  642 3
1EEB3  631 3
1EEB4  634 3
1EEB5  62A 3
1EEB6  62B 3
1EEB7  62E 3
1EEB8  630 3
1EEB9  636 3
1EEBA  638 3
1EEBB  63A 3
1F100  30 2
1F101  30 2
1F102  31 2
1F103  32 2
1F104  33 2
1F105  34 2
1F106  35 2
1F107  36 2
1F108  37 2
1F109  38 2
1F10A  39 2
1F110  28 2
1F111  28 2
1F112  28 2
1F113  28 2
1F114  28 2
1F115  28 2
1F116  28 2
1F117  28 2
1F118  28 2
1F119  28 2
1F11A  28 2
1F11B  28 2
1F11C  28 2
1F11D  28 2
1F11E  28 2
1F11F  28 2
1F120  28 2
1F121  28 2
1F122  28 2
1F123  28 2
1F124  28 2
1F125  28 2
1F126  28 2
1F127  28 2
1F128  28 2
1F129  28 2
1F12A  3014 2
1F12B  28 2
1F12C  28 2
1F12D  28 2
1F12E  28 2
1F130  41 2
1F131  42 2
1F132  43 2
1F133  44 2
1F134  45 2
1F135  46 2
1F136  47 2
1F137  48 2
1F138  49 2
1F139  4A 2
1F13A  4B 2
1F13B  4C 2
1F13C  4D 2
1F13D  4E 2
1F13E  4F 2
1F13F  50 2
1F140  51 2
1F141  52 2
1F142  53 2
1F143  54 2
1F144  55 2
1F145  56 2
1F146  57 2
1F147  58 2
1F148  59 2
1F149  5A 2
1F14A  48 2
1F14B  4D 2
1F14C  53 2
1F14D  53 2
1F14E  50 2
1F14F  57 2
1F16A  4D 2
1F16B  4D 2
1F16C  4D 2
1F190  44 2
1F200  307B 2
1F201  30B3 2
1F202  30B5 3
1F210  624B 3
1F211  5B57 3
1F212  53CC 3
1F213  30C7 3
1F214  4E8C 3
1F215  591A 3
1F216  89E3 3
1F217  5929 3
1F218  4EA4 3
1F219  6620 3
1F21A  7121 3
1F21B  6599 3
1F21C  524D 3
1F21D  5F8C 3
1F21E  518D 3
1F21F  65B0 3
1F220  521D 3
1F221  7D42 3
1F222  751F 3
1F223  8CA9 3
1F224  58F0 3
1F225  5439 3
1F226  6F14 3
1F227  6295 3
1F228  6355 3
1F229  4E00 3
1F22A  4E09 3
1F22B  904A 3
1F22C  5DE6 3
1F22D  4E2D 3
1F22E  53F3 3
1F22F  6307 3
1F230  8D70 3
1F231  6253 3
1F232  7981 3
1F233  7A7A 3
1F234  5408 3
1F235  6E80 3
1F236  6709 3
1F237  6708 3
1F238  7533 3
1F239  5272 3
1F23A  55B6 3
1F23B  914D 3
1F240  3014 2
1F241  3014 2
1F242  3014 2
1F243  3014 2
1F244  3014 2
1F245  3014 2
1F246  3014 2
1F247  3014 2
1F248  3014 2
1F250  28 2
1F251  28 2
2F801  4E38 3
2F804  4F60 3
2F805  4FAE 3
2F806  4FBB 3
2F807  5002 3
2F808  507A 3
2F809  5099 3
2F80A  50E7 3
2F80B  50CF 3
2F80E  514D 3
2F80F  5154 3
2F811  5177 3
2F814  5167 3
2F815  518D 3
2F817  5197 3
2F818  51A4 3
2F81A  51AC 3
2F81B  51B5 3
2F81D  51F5 3
2F81E  5203 3
2F820  523B 3
2F821  5246 3
2F822  5272 3
2F823  5277 3
2F825  52C7 3
2F826  52C9 3
2F827  52E4 3
2F828  52FA 3
2F829  5305 3
2F82A  5306 3
2F82B  5317 3
2F82C  5349 3
2F82D  5351 3
2F82E  535A 3
2F82F  5373 3
2F830  537D 3
2F831  537F 3
2F832  537F 3
2F833  537F 3
2F835  7070 3
2F836  53CA 3
2F837  53DF 3
2F839  53EB 3
2F83A  53F1 3
2F83B  5406 3
2F83D  5438 3
2F83E  5448 3
2F83F  5468 3
2F840  54A2 3
2F842  5510 3
2F843  5553 3
2F844  5563 3
2F845  5584 3
2F846  5584 3
2F847  5599 3
2F848  55AB 3
2F849  55B3 3
2F84A  55C2 3
2F84B  5716 3
2F84C  5606 3
2F84F  5674 3
2F850  5207 3
2F851  58EE 3
2F852  57CE 3
2F853  57F4 3
2F854  580D 3
2F855  578B 3
2F856  5832 3
2F857  5831 3
2F858  58AC 3
2F85A  58F2 3
2F85B  58F7 3
2F85C  5906 3
2F85D  591A 3
2F85E  5922 3
2F85F  5962 3
2F862  59EC 3
2F863  5A1B 3
2F865  59D8 3
2F866  5A66 3
2F869  5B08 3
2F86A  5B3E 3
2F86B  5B3E 3
2F86D  5BC3 3
2F86E  5BD8 3
2F86F  5BE7 3
2F870  5BF3 3
2F872  5BFF 3
2F873  5C06 3
2F874  5F53 3
2F875  5C22 3
2F877  5C60 3
2F878  5C6E 3
2F879  5CC0 3
2F87A  5C8D 3
2F87C  5D43 3
2F87F  5D6B 3
2F880  5D7C 3
2F881  5DE1 3
2F882  5DE2 3
2F884  5DFD 3
2F885  5E28 3
2F886  5E3D 3
2F887  5E69 3
2F88B  5EB0 3
2F88C  5EB3 3
2F88D  5EB6 3
2F88E  5ECA 3
2F890  5EFE 3
2F893  8201 3
2F894  5F22 3
2F895  5F22 3
2F899  5F62 3
2F89A  5F6B 3
2F89D  5FCD 3
2F89E  5FD7 3
2F8A0  6081 3
2F8A3  6094 3
2F8A5  60C7 3
2F8A6  6148 3
2F8A7  614C 3
2F8A8  614E 3
2F8A9  614C 3
2F8AA  617A 3
2F8AB  618E 3
2F8AC  61B2 3
2F8AD  61A4 3
2F8AE  61AF 3
2F8AF  61DE 3
2F8B0  61F2 3
2F8B1  61F6 3
2F8B2  6210 3
2F8B3  621B 3
2F8B5  62B1 3
2F8B6  62D4 3
2F8B7  6350 3
2F8B9  633D 3
2F8BA  62FC 3
2F8BB  6368 3
2F8BC  6383 3
2F8BD  63E4 3
2F8BF  6422 3
2F8C0  63C5 3
2F8C1  63A9 3
2F8C3  6469 3
2F8C5  649D 3
2F8C6  6477 3
2F8C8  654F 3
2F8C9  656C 3
2F8CB  65E3 3
2F8CC  66F8 3
2F8CD  6649 3
2F8CF  6691 3
2F8D2  5192 3
2F8D3  5195 3
2F8D4  6700 3
2F8D6  80AD 3
2F8D8  6717 3
2F8D9  671B 3
2F8DA  6721 3
2F8DB  675E 3
2F8DC  6753 3
2F8DF  67FA 3
2F8E0  6785 3
2F8E2  6885 3
2F8E5  681F 3
2F8E6  6914 3
2F8E8  6942 3
2F8E9  69A3 3
2F8EA  69EA 3
2F8EB  6AA8 3
2F8ED  6ADB 3
2F8EF  6B21 3
2F8F1  6B54 3
2F8F3  6B72 3
2F8F4  6B9F 3
2F8F5  6BBA 3
2F8F6  6BBB 3
2F8FA  6C4E 3
2F8FC  6CBF 3
2F8FD  6CCD 3
2F8FE  6C67 3
2F8FF  6D16 3
2F900  6D3E 3
2F901  6D77 3
2F902  6D41 3
2F903  6D69 3
2F904  6D78 3
2F905  6D85 3
2F907  6D34 3
2F908  6E2F 3
2F909  6E6E 3
2F90B  6ECB 3
2F90C  6EC7 3
2F90E  6DF9 3
2F90F  6F6E 3
2F912  6FC6 3
2F913  7039 3
2F914  701E 3
2F915  701B 3
2F917  704A 3
2F918  707D 3
2F91A  70AD 3
2F91E  719C 3
2F920  7228 3
2F921  7235 3
2F924  7280 3
2F925  7295 3
2F928  737A 3
2F929  738B 3
2F92B  73A5 3
2F92F  745C 3
2F930  7471 3
2F931  7485 3
2F932  74CA 3
2F936  753E 3
2F938  7570 3
2F93A  7610 3
2F940  76F4 3
2F945  771E 3
2F946  771F 3
2F947  771F 3
2F948  774A 3
2F94A  778B 3
2F94E  784E 3
2F94F  788C 3
2F950  78CC 3
2F953  7956 3
2F956  798F 3
2F957  79EB 3
2F959  7A40 3
2F95A  7A4A 3
2F95B  7A4F 3
2F95F  7AEE 3
2F962  7BC6 3
2F963  7BC9 3
2F966  7CD2 3
2F968  7CE8 3
2F96A  7D00 3
2F96C  7D63 3
2F96E  7DC7 3
2F970  7E45 3
2F976  7F7A 3
2F978  7F95 3
2F97A  8005 3
2F97F  8070 3
2F982  80B2 3
2F985  813E 3
2F986  5AB5 3
2F98B  8201 3
2F98C  8204 3
2F98D  8F9E 3
2F98F  8291 3
2F990  828B 3
2F991  829D 3
2F993  82B1 3
2F994  82B3 3
2F995  82BD 3
2F996  82E6 3
2F998  82E5 3
2F99C  8323 3
2F99D  83BD 3
2F99E  83E7 3
2F99F  8457 3
2F9A0  8353 3
2F9A1  83CA 3
2F9A2  83CC 3
2F9A3  83DC 3
2F9A8  84F1 3
2F9A9  84F3 3
2F9AA  8516 3
2F9AC  8564 3
2F9B3  8650 3
2F9B4  865C 3
2F9B5  8667 3
2F9B6  8669 3
2F9B7  86A9 3
2F9B9  870E 3
2F9BA  86E2 3
2F9BB  8779 3
2F9BC  8728 3
2F9BD  876B 3
2F9C0  87E1 3
2F9C1  8801 3
2F9C4  8863 3
2F9C6  88D7 3
2F9C7  88DE 3
2F9C9  88FA 3
2F9CF  8AA0 3
2F9D0  8AED 3
2F9D1  8B8A 3
2F9D2  8C55 3
2F9D4  8CAB 3
2F9D5  8CC1 3
2F9D6  8D1B 3
2F9D7  8D77 3
2F9DA  8DCB 3
2F9DB  8DBC 3
2F9DC  8DF0 3
2F9DE  8ED4 3
2F9DF  8F38 3
2F9E2  9094 3
2F9E3  90F1 3
2F9E4  9111 3
2F9E6  911B 3
2F9E7  9238 3
2F9E8  92D7 3
2F9E9  92D8 3
2F9EA  927C 3
2F9EB  93F9 3
2F9EC  9415 3
2F9EE  958B 3
2F9F0  95B7 3
2F9F3  96C3 3
2F9F4  5DB2 3
2F9F5  9723 3
2FA00  9829 3
2FA02  98E2 3
2FA04  9929 3
2FA05  99A7 3
2FA06  99C2 3
2FA07  99FE 3
2FA0A  9B12 3
2FA0B  9C40 3
2FA0C  9CFD 3
2FA0F  9D67 3
2FA15  9EBB 3
2FA17  9EF9 3
2FA1A  9F0F 3
2FA1B  9F16 3
2FA1C  9F3B 3
