5C  A5 2
1F6B  3A9 3
1F6C  3A9 3
1F6D  3A9 3
1F6E  3A9 3
1F6F  3A9 3
1F70  3B1 3
1F71  3B1 3
1F72  3B5 3
1F73  3B5 3
1F74  3B7 3
1F75  3B7 3
1F76  3B9 3
1F77  3B9 3
1F78  3BF 3
1F79  3BF 3
1F7A  3C5 3
1F7B  3C5 3
1F7C  3C9 3
1F7D  3C9 3
1F80  3B1 3
1F81  3B1 3
1F82  3B1 3
1F83  3B1 3
1F84  3B1 3
1F85  3B1 3
1F86  3B1 3
1F87  3B1 3
1F88  391 3
1F89  391 3
1F8A  391 3
1F8B  391 3
1F8C  391 3
1F8D  391 3
1F8E  391 3
1F8F  391 3
1F90  3B7 3
1F91  3B7 3
1F92  3B7 3
1F93  3B7 3
1F94  3B7 3
1F95  3B7 3
1F96  3B7 3
1F97  3B7 3
1F98  397 3
1F99  397 3
1F9A  397 3
1F9B  397 3
1F9C  397 3
1F9D  397 3
1F9E  397 3
1F9F  397 3
1FA0  3C9 3
1FA1  3C9 3
1FA2  3C9 3
1FA3  3C9 3
1FA4  3C9 3
1FA5  3C9 3
1FA6  3C9 3
1FA7  3C9 3
1FA8  3A9 3
1FA9  3A9 3
1FAA  3A9 3
1FAB  3A9 3
1FAC  3A9 3
1FAD  3A9 3
1FAE  3A9 3
1FAF  3A9 3
1FB0  3B1 3
1FB1  3B1 3
1FB2  3B1 3
1FB3  3B1 3
1FB4  3B1 3
1FB6  3B1 3
1FB7  3B1 3
1FB8  391 3
1FB9  391 3
1FBA  391 3
1FBB  391 3
1FBC  391 3
1FBE  3B9 3
1FC1  A8 3
1FC2  3B7 3
1FC3  3B7 3
1FC4  3B7 3
1FC6  3B7 3
1FC7  3B7 3
1FC8  395 3
1FC9  395 3
1FCA  397 3
1FCB  397 3
1FCC  397 3
1FD0  3B9 3
1FD1  3B9 3
1FD2  3B9 3
1FD3  3B9 3
1FD6  3B9 3
1FD7  3B9 3
1FD8  399 3
1FD9  399 3
1FDA  399 3
1FDB  399 3
1FE0  3C5 3
1FE1  3C5 3
1FE2  3C5 3
1FE3  3C5 3
1FE4  3C1 3
1FE5  3C1 3
1FE6  3C5 3
1FE7  3C5 3
1FE8  3A5 3
1FE9  3A5 3
1FEA  3A5 3
1FEB  3A5 3
1FEC  3A1 3
1FED  A8 3
1FEE  A8 3
1FEF  60 2
1FF2  3C9 3
1FF3  3C9 3
1FF4  3C9 3
1FF6  3C9 3
1FF7  3C9 3
1FF8  39F 3
1FF9  39F 3
1FFA  3A9 3
1FFB  3A9 3
1FFC  3A9 3
1FFD  B4 3
2000  20 2
2001  20 2
2002  20 2
2003  20 2
2004  20 2
2005  20 2
2006  20 2
2008  20 2
2009  20 2
200A  20 2
2010  2D 2
2011  2D 2
2012  2D 2
2013  2D 2
2014  2D 2
2015  2D 2
2018  27 2
2019  27 2
201A  2C 2
201B  27 2
201C  22 2
201D  22 2
201E  2C 2
201F  22 2
2020  2B 2
2022  6F 2
2024  2E 2
2025  2E 2
2026  2E 2
202F  A0 3
2032  B4 3
2033  B4 2
2034  B4 2
2035  60 2
2036  60 2
2037  60 2
2039  3C 2
203A  3E 2
203C  21 2
2044  2F 2
2047  3F 2
2048  3F 2
2049  21 2
204A  26 2
2057  2032 2
205F  20 2
2070  30 2
2071  69 2
2074  34 2
2075  35 2
2076  36 2
2077  37 2
2078  38 2
2079  39 2
207A  2B 2
207B  2212 3
207C  3D 2
207D  28 2
207E  29 2
207F  6E 2
2080  30 2
2081  31 2
2082  32 2
2083  33 2
2084  34 2
2085  35 2
2086  36 2
2087  37 2
2088  38 2
2089  39 2
208A  2B 2
208B  2212 3
208C  3D 2
208D  28 2
208E  29 2
2090  61 2
2091  65 2
2092  6F 2
2093  78 2
2095  68 2
2096  6B 2
2097  6C 2
2098  6D 2
2099  6E 2
209A  70 2
209B  73 2
209C  74 2
20A0  43 2
20A1  43 2
20A2  43 2
20A3  46 2
20A4  4C 2
20A7  50 2
20A8  52 2
20A9  4B 2
20AA  49 2
20AB  44 2
20AC  45 2
20AF  47 2
20B1  50 2
20B4  55 2
20B8  4B 2
20B9  49 2
20BA  54 2
20BD  52 2
20BE  47 2
2100  61 2
2101  61 2
2102  43 2
2103  B0 2
2105  63 2
2106  63 2
2109  B0 2
210A  67 2
210B  48 2
210C  48 2
210D  48 2
210E  68 2
210F  127 3
2110  49 2
2111  49 2
2112  4C 2
2113  6C 2
2115  4E 2
2116  4E 2
2119  50 2
211A  51 2
211B  52 2
211C  52 2
211D  52 2
211E  52 2
2120  53 2
2121  54 2
2122  28 2
2124  5A 2
2126  3A9 3
2128  5A 2
212A  4B 2
212B  41 2
212C  42 2
212D  43 2
212E  65 2
212F  65 2
2130  45 2
2131  46 2
2133  4D 2
2134  6F 2
2135  5D0 3
2136  5D1 3
2137  5D2 3
2138  5D3 3
2139  69 2
213B  46 2
213C  3C0 3
213D  3B3 3
213E  393 3
213F  3A0 3
2140  2211 3
2145  44 2
2146  64 2
2147  65 2
2148  69 2
2149  6A 2
2150  20 2
2151  20 2
2152  20 2
2153  20 2
2154  20 2
2155  20 2
2156  20 2
2157  20 2
2158  20 2
2159  20 2
215A  20 2
215B  20 2
215C  20 2
215D  20 2
215E  20 2
215F  20 2
2160  49 2
2161  49 2
2162  49 2
2163  49 2
2164  56 2
2165  56 2
2166  56 2
2167  56 2
2168  49 2
2169  58 2
216A  58 2
216B  58 2
216C  4C 2
216D  43 2
216E  44 2
216F  4D 2
2170  69 2
2171  69 2
2172  69 2
2173  69 2
2174  76 2
2175  76 2
2176  76 2
2177  76 2
2178  69 2
2179  78 2
217A  78 2
217B  78 2
217C  6C 2
217D  63 2
217E  64 2
217F  6D 2
2189  20 2
2190  3C 2
2192  2D 2
2194  3C 2
219A  2190 3
219B  2192 3
21AE  21 2
21CD  21 2
21CE  21 2
21CF  21 2
21D0  3C 2
21D2  3D 2
21D4  3C 2
2204  21 2
2209  21 2
220C  21 2
2212  2D 2
2215  2F 2
2216  5C 2
2217  2A 2
2219  B7 3
2223  7C 2
2224  21 2
2225  7C 2
2226  21 2
222C  222B 2
222D  222B 2
222F  222E 2
2230  222E 2
2236  3A 2
223C  7E 2
2241  21 2
2244  21 2
2247  21 2
2249  21 2
2260  21 2
2262  21 2
2264  3C 2
2265  3E 2
226A  3C 2
226B  3E 2
226E  21 2
226F  21 2
2270  21 2
2271  21 2
2274  21 2
2275  21 2
2278  21 2
2279  21 2
2284  21 2
2285  21 2
2288  21 2
2289  21 2
22C5  B7 3
22D8  3C 2
22D9  3E 2
22EF  B7 2
2329  3C 2
232A  3E 2
2400  4E 2
2401  53 2
2402  53 2
2403  45 2
2404  45 2
2405  45 2
2406  41 2
2407  42 2
2408  42 2
2409  48 2
240A  4C 2
240B  56 2
240C  46 2
240D  43 2
240E  53 2
240F  53 2
2410  44 2
2411  44 2
2412  44 2
2413  44 2
2414  44 2
2415  4E 2
2416  53 2
2417  45 2
2418  43 2
2419  45 2
241A  53 2
241B  45 2
241C  46 2
241D  47 2
241E  52 2
241F  55 2
2420  53 2
2421  44 2
2423  5F 2
2424  4E 2
2460  28 2
2461  28 2
2462  28 2
2463  28 2
2464  28 2
2465  28 2
2466  28 2
2467  28 2
2468  28 2
2469  28 2
246A  28 2
246B  28 2
246C  28 2
246D  28 2
246E  28 2
246F  28 2
2470  28 2
2471  28 2
2472  28 2
2473  28 2
2474  28 2
2475  28 2
2476  28 2
2477  28 2
2478  28 2
2479  28 2
247A  28 2
247B  28 2
247C  28 2
247D  28 2
247E  28 2
247F  28 2
2480  28 2
2481  28 2
2482  28 2
2483  28 2
2484  28 2
2485  28 2
2486  28 2
2487  28 2
2488  31 2
2489  32 2
248A  33 2
248B  34 2
248C  35 2
248D  36 2
248E  37 2
248F  38 2
2490  39 2
2491  31 2
2492  31 2
2493  31 2
2494  31 2
2495  31 2
2496  31 2
2497  31 2
2498  31 2
2499  31 2
249A  31 2
249B  32 2
249C  28 2
249D  28 2
249E  28 2
249F  28 2
24A0  28 2
24A1  28 2
24A2  28 2
24A3  28 2
24A4  28 2
24A5  28 2
24A6  28 2
24A7  28 2
24A8  28 2
24A9  28 2
24AA  28 2
24AB  28 2
24AC  28 2
24AD  28 2
24AE  28 2
24AF  28 2
24B0  28 2
24B1  28 2
24B2  28 2
24B3  28 2
24B4  28 2
24B5  28 2
24B6  28 2
24B7  28 2
24B8  28 2
24B9  28 2
24BA  28 2
24BB  28 2
24BC  28 2
24BD  28 2
24BE  28 2
24BF  28 2
24C0  28 2
24C1  28 2
24C2  28 2
24C3  28 2
24C4  28 2
24C5  28 2
24C6  28 2
24C7  28 2
24C8  28 2
24C9  28 2
24CA  28 2
24CB  28 2
24CC  28 2
24CD  28 2
24CE  28 2
24CF  28 2
24D0  28 2
24D1  28 2
24D2  28 2
24D3  28 2
24D4  28 2
24D5  28 2
24D6  28 2
24D7  28 2
24D8  28 2
24D9  28 2
24DA  28 2
24DB  28 2
24DC  28 2
24DD  28 2
24DE  28 2
24DF  28 2
24E0  28 2
24E1  28 2
24E2  28 2
24E3  28 2
24E4  28 2
24E5  28 2
24E6  28 2
24E7  28 2
24E8  28 2
24E9  28 2
24EA  28 2
2500  2D 2
2502  7C 2
250C  2B 2
2510  2B 2
2514  2B 2
2518  2B 2
251C  2B 2
2524  2B 2
252C  2B 2
2534  2B 2
253C  2B 2
2571  2F 2
2572  5C 2
25E6  6F 2
263A  3A 2
263B  3A 2
27CB  2F 2
27CD  5C 2
27EA  3C 2
27EB  3E 2
27EE  28 2
27EF  29 2
2A0C  222B 2
2A74  3A 2
2A75  3D 2
2A76  3D 2
2C7C  6A 2
2C7D  56 2
2E9F  6BCD 3
2F00  4E00 3
2F02  4E36 3
2F03  4E3F 3
2F04  4E59 3
2F05  4E85 3
2F06  4E8C 3
2F07  4EA0 3
2F08  4EBA 3
2F09  513F 3
2F0A  5165 3
2F0B  516B 3
2F0C  5182 3
2F0D  5196 3
2F0E  51AB 3
2F0F  51E0 3
2F10  51F5 3
2F11  5200 3
2F12  529B 3
2F13  52F9 3
2F14  5315 3
2F15  531A 3
2F16  5338 3
2F17  5341 3
2F18  535C 3
2F19  5369 3
2F1A  5382 3
2F1B  53B6 3
2F1C  53C8 3
2F1D  53E3 3
2F1E  56D7 3
2F1F  571F 3
2F20  58EB 3
2F21  5902 3
2F22  590A 3
2F23  5915 3
2F24  5927 3
2F25  5973 3
2F26  5B50 3
2F27  5B80 3
2F28  5BF8 3
2F29  5C0F 3
2F2A  5C22 3
2F2B  5C38 3
2F2C  5C6E 3
2F2D  5C71 3
2F2E  5DDB 3
2F2F  5DE5 3
2F30  5DF1 3
2F31  5DFE 3
2F32  5E72 3
2F33  5E7A 3
2F34  5E7F 3
2F35  5EF4 3
2F36  5EFE 3
2F37  5F0B 3
2F38  5F13 3
2F3A  5F61 3
2F3B  5F73 3
2F3C  5FC3 3
2F3D  6208 3
2F3E  6236 3
2F3F  624B 3
2F40  652F 3
2F41  6534 3
2F42  6587 3
2F43  6597 3
2F44  65A4 3
2F45  65B9 3
2F46  65E0 3
